,Title,Year,Varietal,Price,Region,Country,Score_WS,Score_RP,Score_W&S,Score_JH,Score_CG,Score_WE,Score_WW,Score_BH,Score_JS,Score_TP,Score_D,Score_V,Score_JD,ProfessionalRating,Professional,StarRating,numRater,Shopping_Link,Img_src
1757,HdV Ygnacia Pinot Noir 2015,2015,Pinot Noir,109.99,Carneros,California,,,,,,,,,95,,,,,95,,0,0,https://www.wine.com/product/HdV-Ygnacia-Pinot-Noir-2015/390779,https://www.wine.com/product/images/fl_progressive/390779.jpg
1758,Lisini Brunello di Montalcino 2013,2013,Sangiovese,54.99,Tuscany,Italy,96,93,,,,94,,,,,,,,94,,0,0,https://www.wine.com/product/Lisini-Brunello-di-Montalcino-2013/422556,https://www.wine.com/product/images/fl_progressive/jorbmpjujeaqiabddsmf.jpg
1759,Apaltagua Envero Gran Reserva Carmenere 2016,2016,Carmenere,17.99,Rapel Valley,Chile,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Apaltagua-Envero-Gran-Reserva-Carmenere-2016/485116,https://www.wine.com/product/images/fl_progressive/lj0d7s0d44q1beqhzrhw.jpg
1760,Santa Julia Organica Cabernet Sauvignon 2017,2017,Cabernet Sauvignon,10.99,Mendoza,Argentina,,,,,,,,,,,,,,0,,4.1,14,https://www.wine.com/product/Santa-Julia-Organica-Cabernet-Sauvignon-2017/347729,https://www.wine.com/product/images/fl_progressive/347729.jpg
1761,OZV Old Vine Zinfandel 2016,2016,Zinfandel,11.99,Lodi,California,,,,,,,,,,,,,,0,,4.5,23,https://www.wine.com/product/OZV-Old-Vine-Zinfandel-2016/358014,https://www.wine.com/product/images/fl_progressive/358014.jpg
1762,Bailly Lapierre Brut Rose,,Rosí© Sparkling Wine,20.99,Burgundy,France,,,,,,,,,,,,,,0,,4.2,7,https://www.wine.com/product/Bailly-Lapierre-Brut-Rose/135958,https://www.wine.com/product/images/fl_progressive/135958.jpg
1763,Fonseca 20 Year Old Tawny,,Port,51.99,,Portugal,,92,,,,94,,,,,,,,93,,4.5,11,https://www.wine.com/product/Fonseca-20-Year-Old-Tawny/1520,https://www.wine.com/product/images/fl_progressive/1520.jpg
1764,Fuligni Brunello di Montalcino Riserva 2010,2010,Sangiovese,164.99,Tuscany,Italy,94,96,,,,96,,,99,,,,,96,,4.8,13,https://www.wine.com/product/Fuligni-Brunello-di-Montalcino-Riserva-2010/161828,https://www.wine.com/product/images/fl_progressive/161828.jpg
1765,Argyle Nuthouse Pinot Noir 2013,2013,Pinot Noir,46.99,Willamette Valley,Oregon,90,,,,,90,91,,,,,,,90,,0,0,https://www.wine.com/product/Argyle-Nuthouse-Pinot-Noir-2013/159352,https://www.wine.com/product/images/fl_progressive/159352.jpg
1766,Viu Manent VIU 1 Malbec 2011,2011,Malbec,79.99,Rapel Valley,Chile,,92,,,,93,,,,,,,,93,,0,0,https://www.wine.com/product/Viu-Manent-VIU-1-Malbec-2011/164068,https://www.wine.com/product/images/fl_progressive/164068.jpg
1767,Roederer Estate L&apos;Ermitage with Gift Box 2011,2011,Vintage Sparkling Wine,45.99,Mendocino,California,93,,,,,95,95,,,,,,,94,,0,0,https://www.wine.com/product/Roederer-Estate-LErmitage-with-Gift-Box-2011/388345,https://www.wine.com/product/images/fl_progressive/388345.jpg
1768,Ruggeri Giustino B. Prosecco Superiore 2015,2015,Vintage Sparkling Wine,28.99,Prosecco,Italy,,92,,,,,,,,,,,,92,,0,0,https://www.wine.com/product/Ruggeri-Giustino-B-Prosecco-Superiore-2015/417021,https://www.wine.com/product/images/fl_progressive/417021.jpg
1769,Taittinger Brut La Francaise (375ML half-bottle),,Non-Vintage Sparkling Wine,29.99,Champagne,France,90,90,,,,,93,,,,,,,91,,4.1,11,https://www.wine.com/product/Taittinger-Brut-La-Francaise-375ML-half-bottle/13778,https://www.wine.com/product/images/fl_progressive/13778.jpg
1770,Sobon Estate Rocky Top Zinfandel 2016,2016,Zinfandel,17.99,Sierra Foothills,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Sobon-Estate-Rocky-Top-Zinfandel-2016/448707,https://www.wine.com/product/images/fl_progressive/gpkftpk1ptvt8v7fvqi8.jpg
