,Title,Year,Varietal,Price,Region,Country,Score_WS,Score_RP,Score_W&S,Score_JH,Score_CG,Score_WE,Score_WW,Score_BH,Score_JS,Score_TP,Score_D,Score_V,Score_JD,ProfessionalRating,Professional,StarRating,numRater,Shopping_Link,Img_src
0,Caymus Napa Valley Cabernet Sauvignon 2016,2016,Cabernet Sauvignon,79.99,Napa Valley,California,,,,,,,92,,,,,,,92,,4.4,59,https://www.wine.com/product/Caymus-Napa-Valley-Cabernet-Sauvignon-2016/434744,https://www.wine.com/product/images/fl_progressive/qw1t5dnidgv2jjyiatnb.jpg
1,Dom Perignon with Gift Box 2009,2009,Vintage Sparkling Wine,189.97,Champagne,France,96,,,,,,,,97,,96,,,96,,4.2,110,https://www.wine.com/product/Dom-Perignon-with-Gift-Box-2009/332599,https://www.wine.com/product/images/fl_progressive/332599.jpg
2,Ornellaia 2015,2015,Bordeaux Red Blends,219.99,Tuscany,Italy,97,,,,,,,,98,,,98,,98,,3.5,5,https://www.wine.com/product/Ornellaia-2015/405514,https://www.wine.com/product/images/fl_progressive/405514.jpg
3,Rombauer Chardonnay 2017,2017,Chardonnay,36.99,Carneros,California,,,,,,,91,,,,,,,91,,4.9,9,https://www.wine.com/product/Rombauer-Chardonnay-2017/500778,https://www.wine.com/product/images/fl_progressive/wpxkrgx7onirby1nvstj.jpg
4,Domaine de la Janasse Chateauneuf-du-Pape Cuvee Chaupin 2016,2016,Grenache,79.99,Rhone,France,95,97,,,,,,,95,,,,99,97,,0,0,https://www.wine.com/product/Domaine-de-la-Janasse-Chateauneuf-du-Pape-Cuvee-Chaupin-2016/506593,https://www.wine.com/product/images/fl_progressive/e9xeiemzcvnmkzp8crzd.jpg
5,Silver Oak Napa Valley Cabernet Sauvignon 2013,2013,Cabernet Sauvignon,114.99,Napa Valley,California,,,,,,,94,,,,,,,94,,4.5,102,https://www.wine.com/product/Silver-Oak-Napa-Valley-Cabernet-Sauvignon-2013/391655,https://www.wine.com/product/images/fl_progressive/391655.jpg
6,Duckhorn Vineyards 90+ Point Wine Gift Set,,Mixed Collections,154.99,,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Duckhorn-Vineyards-90-Point-Wine-Gift-Set/112580,https://www.wine.com/product/images/fl_progressive/112580h.jpg
7,Tour Saint Christophe Les Terrasses de Saint Christophe 2014,2014,Bordeaux Red Blends,21.99,Bordeaux,France,,,,,,,92,,90,,95,,,92,,3.9,70,https://www.wine.com/product/Tour-Saint-Christophe-Les-Terrasses-de-Saint-Christophe-2014/359993,https://www.wine.com/product/images/fl_progressive/359993.jpg
8,Tua Rita Redigaffi Toscana 2015,2015,Merlot,299.99,Tuscany,Italy,95,97,,,,,99,,100,,98,,,98,,0,0,https://www.wine.com/product/Tua-Rita-Redigaffi-Toscana-2015/355789,https://www.wine.com/product/images/fl_progressive/355789.jpg
9,Duckhorn Napa Valley Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,64.99,Napa Valley,California,,,,,,90,93,,,,,,,92,,4.4,39,https://www.wine.com/product/Duckhorn-Napa-Valley-Cabernet-Sauvignon-2015/406915,https://www.wine.com/product/images/fl_progressive/406915.jpg
10,Joseph Phelps Insignia 2014 6 Pack OWC,2014,Mixed Collections,1200,Napa Valley,California,,97,,,,96,96,,97,,,,,97,,0,0,https://www.wine.com/product/Joseph-Phelps-Insignia-2014-6-Pack-OWC/395396,https://www.wine.com/product/images/fl_progressive/395396h.jpg
11,Dominus Estate 2015,2015,Bordeaux Red Blends,299.99,Napa Valley,California,,100,,,,,,,98,,,,,99,,4.4,18,https://www.wine.com/product/Dominus-Estate-2015/355670,https://www.wine.com/product/images/fl_progressive/355670.jpg
12,Scattered Peaks Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,34.99,Napa Valley,California,,,,,,,92,,,,97,,,95,,4,38,https://www.wine.com/product/Scattered-Peaks-Cabernet-Sauvignon-2015/356559,https://www.wine.com/product/images/fl_progressive/356559.jpg
13,Silver Oak Alexander Valley Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,74.99,Sonoma County,California,,,,,,,93,,,,,,,93,,4.1,21,https://www.wine.com/product/Silver-Oak-Alexander-Valley-Cabernet-Sauvignon-2014/498663,https://www.wine.com/product/images/fl_progressive/gpgmugpbf3l6is27kkcx.jpg
14,Chappellet Signature Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,54.99,Napa Valley,California,,93,,,,93,96,,93,,,,96,94,,4.2,63,https://www.wine.com/product/Chappellet-Signature-Cabernet-Sauvignon-2015/336504,https://www.wine.com/product/images/fl_progressive/336504.jpg
15,Veuve Clicquot Yellow Label Brut,,Non-Vintage Sparkling Wine,59.97,Champagne,France,90,,,,,,92,,,,,,,91,,4.4,390,https://www.wine.com/product/Veuve-Clicquot-Yellow-Label-Brut/528,https://www.wine.com/product/images/fl_progressive/528.jpg
16,La Rioja Alta Gran Reserva 904 Tinto 2009,2009,Tempranillo,64.99,Rioja,Spain,,95,,,,,,,97,,,,,96,,4.3,8,https://www.wine.com/product/La-Rioja-Alta-Gran-Reserva-904-Tinto-2009/423151,https://www.wine.com/product/images/fl_progressive/423151.jpg
17,Antinori Tignanello 2015,2015,Tuscan Blends,109,Tuscany,Italy,97,96,,,,,,,98,,,,,97,,4.4,26,https://www.wine.com/product/Antinori-Tignanello-2015/423033,https://www.wine.com/product/images/fl_progressive/423033.jpg
18,Kathryn Hall Cabernet Sauvignon 6-Pack + BONUS Book & Tasting Pass Exclusive,,Mixed Collections,949.99,Napa Valley,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Kathryn-Hall-Cabernet-Sauvignon-6-Pack--BONUS-Book-and-Tasting-Pass-Exclusive/509325,https://www.wine.com/product/images/fl_progressive/bhz6kipthavjnyd32vkh.jpg
19,Hall Eighteen Seventy-Three Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,74.99,Napa Valley,California,,,,,,95,98,,,,,,,97,,4.6,22,https://www.wine.com/product/Hall-Eighteen-Seventy-Three-Cabernet-Sauvignon-2014/405545,https://www.wine.com/product/images/fl_progressive/3aaac426-79ca-4638-82f7-efca535ee9c3-0.jpg
20,Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,119.99,Napa Valley,California,,95,,,,95,,,93,98,93,,,95,,4.4,26,https://www.wine.com/product/Robert-Mondavi-To-Kalon-Vineyard-Reserve-Cabernet-Sauvignon-2014/327526,https://www.wine.com/product/images/fl_progressive/327526.jpg
21,Quintessa 2015,2015,Cabernet Sauvignon,174.99,Napa Valley,California,,96,,,,,,,97,,,,,97,,0,0,https://www.wine.com/product/Quintessa-2015/485136,https://www.wine.com/product/images/fl_progressive/vtc75ikn4abxocfrdcpr.jpg
22,Caymus Special Selection Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,179.99,Napa Valley,California,91,,,,,90,93,,,,,,,91,,4.6,143,https://www.wine.com/product/Caymus-Special-Selection-Cabernet-Sauvignon-2014/226434,https://www.wine.com/product/images/fl_progressive/226434.jpg
23,Chateau Ste. Michelle Cold Creek Vineyard Cabernet Sauvignon 2013,2013,Cabernet Sauvignon,19.99,Columbia Valley,Washington,,92,,,,90,,,,,,,,91,,4,30,https://www.wine.com/product/Chateau-Ste-Michelle-Cold-Creek-Vineyard-Cabernet-Sauvignon-2013/312709,https://www.wine.com/product/images/fl_progressive/312709.jpg
24,Silver Oak Trophy Reds Wine Gift Set,,Mixed Collections,139.99,,Other,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Silver-Oak-Trophy-Reds-Wine-Gift-Set/89224,https://www.wine.com/product/images/fl_progressive/89224h.jpg
25,90+ Point Red Wine Gift Set,,Mixed Collections,49.99,,Other,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/90-Point-Red-Wine-Gift-Set/120039,https://www.wine.com/product/images/fl_progressive/qxhkwitulofbyexwn3nm.jpg
26,Quinta do Crasto Douro Red Reserva Old Vines 2015,2015,Other Red Blends,39.99,,Portugal,94,94,,,,,,,,,,,,94,,0,0,https://www.wine.com/product/Quinta-do-Crasto-Douro-Red-Reserva-Old-Vines-2015/503144,https://www.wine.com/product/images/fl_progressive/xwznvvylvcivhqowm9kt.jpg
27,Raymond Reserve Selection Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,39.99,Napa Valley,California,92,91,,,,,,,91,,95,,91,92,,4.3,41,https://www.wine.com/product/Raymond-Reserve-Selection-Cabernet-Sauvignon-2015/349438,https://www.wine.com/product/images/fl_progressive/349438.jpg
28,Tenuta San Guido Sassicaia 2015,2015,Bordeaux Red Blends,209.99,Tuscany,Italy,97,97,,,,97,,,98,,98,,,97,,4.9,9,https://www.wine.com/product/Tenuta-San-Guido-Sassicaia-2015/404256,https://www.wine.com/product/images/fl_progressive/khcdyrgblbyrrddju5af.jpg
29,Austin Hope Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,53.99,Central Coast,California,,,,,,97,92,,,,,,,95,,4.6,79,https://www.wine.com/product/Austin-Hope-Cabernet-Sauvignon-2015/353582,https://www.wine.com/product/images/fl_progressive/353582.jpg
30,Joseph Phelps Insignia 2015,2015,Bordeaux Red Blends,229.97,Napa Valley,California,,100,,,,,,,96,,,,,98,,0,0,https://www.wine.com/product/Joseph-Phelps-Insignia-2015/489503,https://www.wine.com/product/images/fl_progressive/svzbbczakfg2wbufo22n.jpg
31,Louis Roederer Cristal Brut 2008,2008,Vintage Sparkling Wine,259.97,Champagne,France,97,,,,,100,,,100,,,,,99,,0,0,https://www.wine.com/product/Louis-Roederer-Cristal-Brut-2008/427651,https://www.wine.com/product/images/fl_progressive/427651.jpg
32,Substance Cabernet Sauvignon 2016,2016,Cabernet Sauvignon,14.99,Columbia Valley,Washington,90,92,,,,90,,,92,,,,93,91,,3.9,204,https://www.wine.com/product/Substance-Cabernet-Sauvignon-2016/414487,https://www.wine.com/product/images/fl_progressive/414487.jpg
33,Frank Family Vineyards Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,53.99,Napa Valley,California,90,90,,,,,,,,,,,,90,,4.4,5,https://www.wine.com/product/Frank-Family-Vineyards-Cabernet-Sauvignon-2015/434136,https://www.wine.com/product/images/fl_progressive/434136.jpg
34,Hall Kathryn Hall Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,174.99,Napa Valley,California,,100,,,,,,,,,,,99,100,,0,0,https://www.wine.com/product/Hall-Kathryn-Hall-Cabernet-Sauvignon-2015/417484,https://www.wine.com/product/images/fl_progressive/q0sxreuswru9fjletw5m.jpg
35,Veuve Clicquot Vintage Brut 2008,2008,Vintage Sparkling Wine,89.99,Champagne,France,93,92,,,,93,,,93,,96,,,93,,4.4,29,https://www.wine.com/product/Veuve-Clicquot-Vintage-Brut-2008/159736,https://www.wine.com/product/images/fl_progressive/159736.jpg
36,Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,239.99,Napa Valley,California,,97,,,,,,,96,,,,100,98,,0,0,https://www.wine.com/product/Chappellet-Pritchard-Hill-Estate-Vineyard-Cabernet-Sauvignon-2015/485140,https://www.wine.com/product/images/fl_progressive/irjglv4kdupqkdywhenm.jpg
37,Domaine Serene Evenstad Reserve Pinot Noir 2014,2014,Pinot Noir,64.99,Willamette Valley,Oregon,92,,,,,94,94,,95,,,,,94,,4.5,25,https://www.wine.com/product/Domaine-Serene-Evenstad-Reserve-Pinot-Noir-2014/245817,https://www.wine.com/product/images/fl_progressive/245817.jpg
38,Laurent-Perrier Brut Rose,,Rosí© Sparkling Wine,79.99,Champagne,France,92,,,,96,92,,,,93,,,,93,,4.6,98,https://www.wine.com/product/Laurent-Perrier-Brut-Rose/10521,https://www.wine.com/product/images/fl_progressive/10521.jpg
39,Kendall-Jackson Grand Reserve Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,21.99,Sonoma County,California,,90,,,,90,,,,,,,,90,,3.8,12,https://www.wine.com/product/Kendall-Jackson-Grand-Reserve-Cabernet-Sauvignon-2014/358627,https://www.wine.com/product/images/fl_progressive/358627.jpg
40,Chateau Sansonnet 2015,2015,Bordeaux Red Blends,39.99,Bordeaux,France,92,92,,,,92,,,96,,91,94,94,93,,0,0,https://www.wine.com/product/Chateau-Sansonnet-2015/400828,https://www.wine.com/product/images/fl_progressive/yjto24ly0sep5etrwazf.jpg
41,Quintessential Reds Wine Collection,,Mixed Collections,99.99,,,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Quintessential-Reds-Wine-Collection/100296,https://www.wine.com/product/images/fl_progressive/100296h.jpg
42,Domaine du Vieux Telegraphe Chateauneuf-du-Pape La Crau 2016,2016,Rhone Red Blends,85,Rhone,France,,96,,,,,,,98,,93,,97,96,,0,0,https://www.wine.com/product/Domaine-du-Vieux-Telegraphe-Chateauneuf-du-Pape-La-Crau-2016/510777,https://www.wine.com/product/images/fl_progressive/kgu2dozojcxijemas9nl.jpg
43,Orin Swift Cellars Papillon 2015,2015,Bordeaux Red Blends,69.99,Napa Valley,California,93,94,,,,,,,,,,,,94,,4.6,38,https://www.wine.com/product/Orin-Swift-Cellars-Papillon-2015/348762,https://www.wine.com/product/images/fl_progressive/348762.jpg
44,The Prisoner Wine Company The Prisoner 2016,2016,Other Red Blends,39.99,Napa Valley,California,,,,,,,91,,,,,,,91,,4.5,302,https://www.wine.com/product/The-Prisoner-Wine-Company-The-Prisoner-2016/348816,https://www.wine.com/product/images/fl_progressive/348816.jpg
45,Chateau Clos du Roy 2015,2015,Bordeaux Red Blends,15.99,Bordeaux,France,,92,,,,,,,93,,,,90,92,,3.8,29,https://www.wine.com/product/Chateau-Clos-du-Roy-2015/158111,https://www.wine.com/product/images/fl_progressive/158111.jpg
46,Chateau Leoville Las Cases 2005,2005,Bordeaux Red Blends,349.99,Bordeaux,France,100,97,,,,97,,,99,,,98,,98,,4.1,16,https://www.wine.com/product/Chateau-Leoville-Las-Cases-2005/94128,https://www.wine.com/product/images/fl_progressive/94128.jpg
47,Dog Point Vineyard Sauvignon Blanc 2017,2017,Sauvignon Blanc,20.99,Marlborough,New Zealand,92,90,,,,,,,93,,,,,92,,3.9,16,https://www.wine.com/product/Dog-Point-Vineyard-Sauvignon-Blanc-2017/414581,https://www.wine.com/product/images/fl_progressive/414581.jpg
48,Shafer Hillside Select Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,309.99,Napa Valley,California,,98,,,,,,,97,,,97,,97,,0,0,https://www.wine.com/product/Shafer-Hillside-Select-Cabernet-Sauvignon-2014/508683,https://www.wine.com/product/images/fl_progressive/p4tqguh19h56vlnlw8aw.jpg
49,Veuve Clicquot & Champagne Ice Bucket Gift,,Mixed Collections,99.99,Champagne,France,90,,,,,,92,,,,,,,91,,0,0,https://www.wine.com/product/Veuve-Clicquot-and-Champagne-Ice-Bucket-Gift/126257,https://www.wine.com/product/images/fl_progressive/126257h.jpg
50,Chateau Margaux 2015,2015,Bordeaux Red Blends,1699.97,Bordeaux,France,99,99,,,,100,,,100,,100,,100,100,,0,0,https://www.wine.com/product/Chateau-Margaux-2015/153459,https://www.wine.com/product/images/fl_progressive/153459.jpg
51,Columbia Crest Grand Estates Red Blend 2012,2012,Other Red Blends,9.99,Columbia Valley,Washington,90,,,,,,,,,,,,,90,,3.6,126,https://www.wine.com/product/Columbia-Crest-Grand-Estates-Red-Blend-2012/152746,https://www.wine.com/product/images/fl_progressive/152746.jpg
52,Penley Estate Phoenix Cabernet Sauvignon 2016,2016,Cabernet Sauvignon,16.99,Limestone Coast,Australia,93,,,91,,,,,,,,,,92,,4.1,7,https://www.wine.com/product/Penley-Estate-Phoenix-Cabernet-Sauvignon-2016/504967,https://www.wine.com/product/images/fl_progressive/xb6xcbsabygn5hq8sbir.jpg
53,90+ Point Executive Gift Set,,Mixed Collections,159.99,,,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/90-Point-Executive-Gift-Set/355416,https://www.wine.com/product/images/fl_progressive/355416h.jpg
54,Chateau Cheval Blanc 2015,2015,Bordeaux Red Blends,799.99,Bordeaux,France,98,100,,,,100,,,99,,98,99,98,99,,4.5,7,https://www.wine.com/product/Chateau-Cheval-Blanc-2015/153462,https://www.wine.com/product/images/fl_progressive/153462.jpg
55,Paraduxx Proprietary Red 2015,2015,Other Red Blends,39.99,Napa Valley,California,,,,,,,92,,91,,,,,92,,4.4,27,https://www.wine.com/product/Paraduxx-Proprietary-Red-2015/379195,https://www.wine.com/product/images/fl_progressive/379195.jpg
56,DAOU Vineyards Cabernet Sauvignon 2016,2016,Cabernet Sauvignon,25.99,Central Coast,California,,94,,,,92,90,,,,,,91,92,,4.1,135,https://www.wine.com/product/DAOU-Vineyards-Cabernet-Sauvignon-2016/260404,https://www.wine.com/product/images/fl_progressive/260404.jpg
57,Chateau Haut-Brion 2015,2015,Bordeaux Red Blends,629.99,Bordeaux,France,98,100,,,,97,,,98,,97,98,100,98,,4.9,6,https://www.wine.com/product/Chateau-Haut-Brion-2015/153457,https://www.wine.com/product/images/fl_progressive/153457.jpg
58,Mouton Cadet Ryder Cup Selection 2014,2014,Bordeaux Red Blends,8.98,Bordeaux,France,,,,,,,89,,,,,,,89,,3.2,82,https://www.wine.com/product/Mouton-Cadet-Ryder-Cup-Selection-2014/162763,https://www.wine.com/product/images/fl_progressive/162763.jpg
59,Goldeneye Anderson Valley Pinot Noir 2015,2015,Pinot Noir,44.95,Mendocino,California,,,,,,91,91,,,,,,,91,,4.3,18,https://www.wine.com/product/Goldeneye-Anderson-Valley-Pinot-Noir-2015/379193,https://www.wine.com/product/images/fl_progressive/379193.jpg
60,Shafer One Point Five Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,94.99,Napa Valley,California,93,91,,,,97,,,,,,93,,94,,4.7,13,https://www.wine.com/product/Shafer-One-Point-Five-Cabernet-Sauvignon-2015/410603,https://www.wine.com/product/images/fl_progressive/bmofqdacn2oyp2dlznrc.jpg
61,Viva Italia! Italian Wine Collection,,Mixed Collections,79.99,,Italy,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Viva-Italia-Italian-Wine-Collection/100294,https://www.wine.com/product/images/fl_progressive/tqot6ehxvnfaoqnn6y0b.jpg
62,Hall Ellie&apos;s Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,74.99,Napa Valley,California,93,,,,,95,96,,,,,,,95,,3.8,6,https://www.wine.com/product/Hall-Ellies-Cabernet-Sauvignon-2014/391483,https://www.wine.com/product/images/fl_progressive/7be3320c-dfbf-402f-bae2-ef167a8c7f85-0.jpg
63,Masi Costasera Amarone Classico 2012,2012,Other Red Blends,53.99,Veneto,Italy,91,92,,,,,,,94,,,,,92,,4.6,33,https://www.wine.com/product/Masi-Costasera-Amarone-Classico-2012/240543,https://www.wine.com/product/images/fl_progressive/240543.jpg
64,Louis Martini Napa Valley Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,29.99,Napa Valley,California,,95,,,,,,,91,,,,,93,,4,130,https://www.wine.com/product/Louis-Martini-Napa-Valley-Cabernet-Sauvignon-2014/367666,https://www.wine.com/product/images/fl_progressive/nlswqrxpibbgnkgx69xo.jpg
65,Jordan Cabernet Sauvignon 2013,2013,Cabernet Sauvignon,54.99,Sonoma County,California,,,,,,92,,,,95,,,,94,,4.4,152,https://www.wine.com/product/Jordan-Cabernet-Sauvignon-2013/213353,https://www.wine.com/product/images/fl_progressive/213353.jpg
66,Domaine du Pegau Chateauneuf-du-Pape Cuvee Laurence 2012,2012,Rhone Red Blends,99.99,Rhone,France,96,,,,,,,,,,,,,96,,0,0,https://www.wine.com/product/Domaine-du-Pegau-Chateauneuf-du-Pape-Cuvee-Laurence-2012/173845,https://www.wine.com/product/images/fl_progressive/173845.jpg
67,Stag&apos;s Leap Wine Cellars Artemis Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,49.99,Napa Valley,California,,93,,,,,,,,,,,,93,,4.3,188,https://www.wine.com/product/Stags-Leap-Wine-Cellars-Artemis-Cabernet-Sauvignon-2015/353519,https://www.wine.com/product/images/fl_progressive/353519.jpg
68,Freemark Abbey Napa Valley Cabernet Sauvignon 2014,2014,Cabernet Sauvignon,39.99,Napa Valley,California,,92,,,,,,,93,,95,,,93,,4.3,22,https://www.wine.com/product/Freemark-Abbey-Napa-Valley-Cabernet-Sauvignon-2014/371749,https://www.wine.com/product/images/fl_progressive/371749.jpg
69,Bollinger 94 Point Brut Special Cuvee Gift Set with 2 Champagne Glasses,,Mixed Collections,99.99,Champagne,France,93,,,,,92,94,,92,,,,,93,,0,0,https://www.wine.com/product/Bollinger-94-Point-Brut-Special-Cuvee-Gift-Set-with-2-Champagne-Glasses/348510,https://www.wine.com/product/images/fl_progressive/348510h.jpg
70,Louis Roederer Brut Premier Champagne Gift Boxed with 2 Glasses,,Mixed Collections,99.99,Champagne,France,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Louis-Roederer-Brut-Premier-Champagne-Gift-Boxed-with-2-Glasses/134638,https://www.wine.com/product/images/fl_progressive/134638h.jpg
71,Frescobaldi Castelgiocondo Brunello di Montalcino 2011,2011,Sangiovese,47.98,Tuscany,Italy,91,91,,,,92,91,,93,,95,,,92,,4.2,46,https://www.wine.com/product/Frescobaldi-Castelgiocondo-Brunello-di-Montalcino-2011/157904,https://www.wine.com/product/images/fl_progressive/157904.jpg
72,Schug Sonoma Coast Pinot Noir 2016,2016,Pinot Noir,19.99,Sonoma County,California,,,,,,,90,,,91,90,,,90,,4.2,52,https://www.wine.com/product/Schug-Sonoma-Coast-Pinot-Noir-2016/395403,https://www.wine.com/product/images/fl_progressive/395403.jpg
73,Martin Ray Sonoma County Pinot Noir 2016,2016,Pinot Noir,18.99,Sonoma County,California,,,,,,,,,94,,,,,94,,4,20,https://www.wine.com/product/Martin-Ray-Sonoma-County-Pinot-Noir-2016/354829,https://www.wine.com/product/images/fl_progressive/354829.jpg
74,Chateau de Landiras 2014,2014,Bordeaux Red Blends,19.99,Bordeaux,France,,,,,,,93,,,,95,,,94,,3.8,419,https://www.wine.com/product/Chateau-de-Landiras-2014/177409,https://www.wine.com/product/images/fl_progressive/177409.jpg
75,El Enemigo Gran Enemigo Gualtallary Single Vineyard 2013,2013,Cabernet Franc,124.99,Mendoza,Argentina,,100,,,,94,,,99,,95,,,97,,0,0,https://www.wine.com/product/El-Enemigo-Gran-Enemigo-Gualtallary-Single-Vineyard-2013/289649,https://www.wine.com/product/images/fl_progressive/289649.jpg
76,Louis Roederer Cristal Brut with Gift Box 2008,2008,Vintage Sparkling Wine,269.97,Champagne,France,,,,,,100,,,100,,,,,100,,0,0,https://www.wine.com/product/Louis-Roederer-Cristal-Brut-with-Gift-Box-2008/427652,https://www.wine.com/product/images/fl_progressive/427652.jpg
77,Hall Kathryn Hall Cabernet Sauvignon (375ML half-bottle) 2015,2015,Cabernet Sauvignon,89.99,Napa Valley,California,,100,,,,,,,,,,,99,100,,0,0,https://www.wine.com/product/Hall-Kathryn-Hall-Cabernet-Sauvignon-375ML-half-bottle-2015/509067,https://www.wine.com/product/images/fl_progressive/opvc60siuynwtoq80x03.jpg
78,Billecart-Salmon Brut Rose,,Rosí© Sparkling Wine,79.99,Champagne,France,93,,,94,,91,96,,94,,92,,,93,,4.7,101,https://www.wine.com/product/Billecart-Salmon-Brut-Rose/23291,https://www.wine.com/product/images/fl_progressive/23291.jpg
79,Clarendelle Inspired by Haut-Brion Medoc 2014,2014,Bordeaux Red Blends,19.99,Bordeaux,France,,,,,,,,,92,,,,,92,,0,0,https://www.wine.com/product/Clarendelle-Inspired-by-Haut-Brion-Medoc-2014/494866,https://www.wine.com/product/images/fl_progressive/iqtkmumnrvpmzyu0lvhb.jpg
80,Tenuta San Guido Sassicaia 2014,2014,Bordeaux Red Blends,199.99,Tuscany,Italy,92,93,,,,95,,,92,,,,,93,,4.6,21,https://www.wine.com/product/Tenuta-San-Guido-Sassicaia-2014/218352,https://www.wine.com/product/images/fl_progressive/218352.jpg
81,Cakebread Chardonnay 2016,2016,Chardonnay,36.99,Napa Valley,California,,,,,,,,,,,,,,0,,4.6,8,https://www.wine.com/product/Cakebread-Chardonnay-2016/410688,https://www.wine.com/product/images/fl_progressive/410688.jpg
82,Louis Roederer Cristal Brut 2009,2009,Vintage Sparkling Wine,229.97,Champagne,France,95,96,,,,97,,,97,,97,,,96,,4.6,28,https://www.wine.com/product/Louis-Roederer-Cristal-Brut-2009/160359,https://www.wine.com/product/images/fl_progressive/160359.jpg
83,"Wine Discovery Set: Cabernet Sauvignon (Earthy, Structured & Rich)",,Mixed Collections,74.99,,Other,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Wine-Discovery-Set-Cabernet-Sauvignon-Earthy-Structured-and-Rich/348512,https://www.wine.com/product/images/fl_progressive/348512h.jpg
84,90+ Point Cabernet Gift Set,,Mixed Collections,59.99,,Other,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/90-Point-Cabernet-Gift-Set/125999,https://www.wine.com/product/images/fl_progressive/znzhqgu4wioeec2l3j9e.jpg
85,Dom Perignon P2 in Gift Box 2000,2000,Vintage Sparkling Wine,379.99,Champagne,France,97,,,,,,,,97,,,,,97,,4.3,10,https://www.wine.com/product/Dom-Perignon-P2-in-Gift-Box-2000/254921,https://www.wine.com/product/images/fl_progressive/254921.jpg
86,Clarendon Hills Astralis Syrah 2010,2010,Syrah/Shiraz,229.99,McLaren Vale,Australia,,100,,97,,,96,,,,,,,98,,4.3,80,https://www.wine.com/product/Clarendon-Hills-Astralis-Syrah-2010/146929,https://www.wine.com/product/images/fl_progressive/146929.jpg
87,La Crema Monterey Chardonnay 2016,2016,Chardonnay,17.99,Central Coast,California,,,,,,,91,,,,,,,91,,4.3,31,https://www.wine.com/product/La-Crema-Monterey-Chardonnay-2016/371753,https://www.wine.com/product/images/fl_progressive/371753.jpg
88,Hundred Acre Wraith Cabernet Sauvignon 2013,2013,Cabernet Sauvignon,499.99,Napa Valley,California,,,,,,,,,,,,,,0,,0,0,https://www.wine.com/product/Hundred-Acre-Wraith-Cabernet-Sauvignon-2013/179903,https://www.wine.com/product/images/fl_progressive/qhynre3unhb4cptkzeyj.jpg
89,Mount Veeder Winery Cabernet Sauvignon 2015,2015,Cabernet Sauvignon,34.99,Napa Valley,California,,,,,,,,,93,,,,90,92,,4.3,16,https://www.wine.com/product/Mount-Veeder-Winery-Cabernet-Sauvignon-2015/391339,https://www.wine.com/product/images/fl_progressive/391339.jpg
90,Borne of Fire Cabernet Sauvignon 2016,2016,Cabernet Sauvignon,19.99,Columbia Valley,Washington,,,,,,,,,96,,,,90,93,,4,176,https://www.wine.com/product/Borne-of-Fire-Cabernet-Sauvignon-2016/391352,https://www.wine.com/product/images/fl_progressive/391352.jpg
91,Delas Cotes du Rhone St. Esprit Rouge 2016,2016,Rhone Red Blends,11.99,Rhone,France,,,,,,,,,,,95,,,95,,3.7,174,https://www.wine.com/product/Delas-Cotes-du-Rhone-St-Esprit-Rouge-2016/338851,https://www.wine.com/product/images/fl_progressive/338851.jpg
92,Chateau Latour 2005,2005,Bordeaux Red Blends,1099.99,Bordeaux,France,99,98,,,,100,,,100,,,98,,99,,4.3,23,https://www.wine.com/product/Chateau-Latour-2005/97450,https://www.wine.com/product/images/fl_progressive/97450.jpg
93,Grgich Hills Estate Chardonnay 2014,2014,Chardonnay,36.99,Napa Valley,California,,,,,,93,92,,,,,,,93,,4.5,20,https://www.wine.com/product/Grgich-Hills-Estate-Chardonnay-2014/265828,https://www.wine.com/product/images/fl_progressive/265828.jpg
