,Title,Title2,Price,StarRating,numRater,Shopping_Link,Img_src,Website
365,Mionetto Prosecco Brut (187ML Split),Mionetto Prosecco Brut,28.99,4.5,6.0,https://www.totalwine.com/wine/champagne-sparkling-wine/prosecco/mionetto-prosecco-brut/p/98620015?s=402&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h2c/h34/10679304683550.png,Total Wine
366,Chateau Fonplegade 2015,"Chateau Fonplegade St Emilion, 2015",49.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-fonplegade-st-emilion/p/135915750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hbf/h4a/11374666842142.png,Total Wine
367,Chateau Fonplegade 2015,"Chateau Fonplegade St Emilion, 2015",24.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-fonplegade-st-emilion/p/135915375?s=211&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
368,Chateau Fonplegade 2015,"Chateau Fonplegade St Emilion, 2015",199.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-fonplegade-st-emilion/p/135915030?s=511&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
369,Chateau Fonplegade 2015,"Chateau Fonplegade St Emilion, 2015",99.99,,0.0,https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-fonplegade-st-emilion/p/135915015?s=2001&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
370,Whitehall Lane Cabernet Sauvignon 2014,"Whitehall Lane Cabernet, 2014",38.99,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/whitehall-lane-cabernet/p/8061750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h58/h09/9082753187870.png,Total Wine
371,Whitehall Lane Leonardini Estate Cabernet Sauvignon 2014,"Whitehall Lane Cabernet, 2014",38.99,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/whitehall-lane-cabernet/p/8061750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h58/h09/9082753187870.png,Total Wine
372,Whitehall Lane Cabernet Sauvignon (1.5 Liter Magnum) 2014,"Whitehall Lane Cabernet, 2014",38.99,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/whitehall-lane-cabernet/p/8061750?s=218&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/h58/h09/9082753187870.png,Total Wine
373,Cline Ancient Vines Zinfandel 2016,"Cline Zinfandel Ancient Vines, 2016",11.99,4.9,10.0,https://www.totalwine.com/wine/red-wine/zinfandel/cline-zinfandel-ancient-vines/p/17324750?s=219&igrules=true,https://image1.totalwine.com/media/sys_master/twmmedia/hc8/h1f/9699792486430.png,Total Wine
374,Cenyth Red Blend 2014,"Cenyth Red Blend Sonoma County, 2014",42.97,,0.0,https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/cenyth-red-blend-sonoma-county/p/142264750?s=1903&igrules=true,https://image1.totalwine.com/media/sys_master/cmsmedia/he2/ha6/8979036438558.png,Total Wine
